wave,publish_date,listing_id,niche,season,product,title,tags,price_usd,est_margin_pct,status
W1,2026-02-25,LB-00011,Plant Lovers,Mothers Day,Sticker,Not Today Sticker | Mothers Day | Plant Lovers,mothers day gift|gift for mom|mama gift|plant lovers|plant gift|sticker|funny gift|personalized gift|custom gift|trending 2026|etsy find|gift idea|family gift,5.99,32.9,queued
W1,2026-02-26,LB-00012,Coffee Lovers,Fathers Day,Sticker,Professionally Tired Sticker | Fathers Day | Coffee Lovers,fathers day gift|gift for dad|dad shirt|coffee lovers|coffee gift|sticker|funny gift|personalized gift|custom gift|trending 2026|etsy find|gift idea|family gift,5.99,32.9,queued
W1,2026-02-27,LB-00014,Graduation Families,Mothers Day,Sticker,Groovy Flowers Sticker | Mothers Day | Graduation Families,mothers day gift|gift for mom|mama gift|graduation families|graduation gift|sticker|funny gift|personalized gift|custom gift|trending 2026|etsy find|gift idea|family gift,5.99,32.9,queued
W1,2026-02-28,LB-00015,Plant Lovers,Graduation,Sticker,Built for Service Sticker | Graduation | Plant Lovers,graduation gift|class of 2026|grad shirt|plant lovers|plant gift|sticker|funny gift|personalized gift|custom gift|trending 2026|etsy find|gift idea|family gift,5.99,32.9,queued
W1,2026-03-01,LB-00016,Therapists,Mothers Day,Sticker,Custom Role Name Sticker | Mothers Day | Therapists,mothers day gift|gift for mom|mama gift|therapists|therapists gift|sticker|funny gift|personalized gift|custom gift|trending 2026|etsy find|gift idea|family gift,5.99,32.9,queued
W1,2026-03-02,LB-00026,Dog Moms,Mothers Day,Sticker,Memory Badge Sticker | Mothers Day | Dog Moms,mothers day gift|gift for mom|mama gift|dog moms|dog gift|sticker|funny gift|personalized gift|custom gift|trending 2026|etsy find|gift idea|family gift,5.99,32.9,queued
W1,2026-03-03,LB-00043,Real Estate Agents,Graduation,Sticker,Grade A Chaos Sticker | Graduation | Real Estate Agents,graduation gift|class of 2026|grad shirt|real estate agents|real gift|sticker|funny gift|personalized gift|custom gift|trending 2026|etsy find|gift idea|family gift,5.99,32.9,queued
W1,2026-02-25,LB-00047,Gamers,Graduation,Sticker,Throwback Type Sticker | Graduation | Gamers,graduation gift|class of 2026|grad shirt|gamers|gamers gift|sticker|funny gift|personalized gift|custom gift|trending 2026|etsy find|gift idea|family gift,5.99,32.9,queued
W1,2026-02-26,LB-00049,Moms of 2+,Mothers Day,Sticker,Classroom Hero Sticker | Mothers Day | Moms of 2+,mothers day gift|gift for mom|mama gift|moms of 2+|moms gift|sticker|funny gift|personalized gift|custom gift|trending 2026|etsy find|gift idea|family gift,5.99,32.9,queued
W1,2026-02-27,LB-00050,Book Lovers,Fathers Day,Sticker,Healing Hands Sticker | Fathers Day | Book Lovers,fathers day gift|gift for dad|dad shirt|book lovers|book gift|sticker|funny gift|personalized gift|custom gift|trending 2026|etsy find|gift idea|family gift,5.99,32.9,queued
W1,2026-02-28,LB-00051,Book Lovers,Mothers Day,Sticker,Polaroid Frame Style Sticker | Mothers Day | Book Lovers,mothers day gift|gift for mom|mama gift|book lovers|book gift|sticker|funny gift|personalized gift|custom gift|trending 2026|etsy find|gift idea|family gift,5.99,32.9,queued
W1,2026-03-01,LB-00059,New Moms,Mothers Day,Sticker,Groovy Flowers Sticker | Mothers Day | New Moms,mothers day gift|gift for mom|mama gift|new moms|new gift|sticker|funny gift|personalized gift|custom gift|trending 2026|etsy find|gift idea|family gift,5.99,32.9,queued
W1,2026-03-02,LB-00066,Moms of 2+,Mothers Day,Sticker,Grade A Chaos Sticker | Mothers Day | Moms of 2+,mothers day gift|gift for mom|mama gift|moms of 2+|moms gift|sticker|funny gift|personalized gift|custom gift|trending 2026|etsy find|gift idea|family gift,5.99,32.9,queued
W1,2026-03-03,LB-00074,Teachers,Fathers Day,Sticker,Throwback Type Sticker | Fathers Day | Teachers,fathers day gift|gift for dad|dad shirt|teachers|teachers gift|sticker|funny gift|personalized gift|custom gift|trending 2026|etsy find|gift idea|family gift,5.99,32.9,queued
W1,2026-02-25,LB-00077,Moms of 2+,Graduation,Sticker,Plant Parent Energy Sticker | Graduation | Moms of 2+,graduation gift|class of 2026|grad shirt|moms of 2+|moms gift|sticker|funny gift|personalized gift|custom gift|trending 2026|etsy find|gift idea|family gift,5.99,32.9,queued
W1,2026-02-26,LB-00085,New Moms,Mothers Day,Sticker,Nurse Strong Sticker | Mothers Day | New Moms,mothers day gift|gift for mom|mama gift|new moms|new gift|sticker|funny gift|personalized gift|custom gift|trending 2026|etsy find|gift idea|family gift,5.99,32.9,queued
