wave,publish_date,listing_id,niche,season,product,title,tags,price_usd,est_margin_pct,status
W3,2026-03-11,LB-00326,Book Lovers,Fathers Day,Sweatshirt,Booktrovert Sweatshirt | Fathers Day | Book Lovers,fathers day gift|gift for dad|dad shirt|book lovers|book gift|sweatshirt|funny gift|personalized gift|custom gift|trending 2026|etsy find|gift idea|family gift,34.99,20.6,queued
W3,2026-03-12,LB-00329,Girl Moms,Mothers Day,Sweatshirt,Retro Script Sweatshirt | Mothers Day | Girl Moms,mothers day gift|gift for mom|mama gift|girl moms|girl gift|sweatshirt|funny gift|personalized gift|custom gift|trending 2026|etsy find|gift idea|family gift,34.99,20.6,queued
W3,2026-03-13,LB-00333,Cat Moms,Mothers Day,Sweatshirt,Forever Proud Sweatshirt | Mothers Day | Cat Moms,mothers day gift|gift for mom|mama gift|cat moms|cat gift|sweatshirt|funny gift|personalized gift|custom gift|trending 2026|etsy find|gift idea|family gift,34.99,20.6,queued
W3,2026-03-14,LB-00344,Cat Moms,Graduation,Sweatshirt,Nurse Strong Sweatshirt | Graduation | Cat Moms,graduation gift|class of 2026|grad shirt|cat moms|cat gift|sweatshirt|funny gift|personalized gift|custom gift|trending 2026|etsy find|gift idea|family gift,34.99,20.6,queued
W3,2026-03-15,LB-00347,New Dads,Mothers Day,Sweatshirt,Old School Badge Sweatshirt | Mothers Day | New Dads,mothers day gift|gift for mom|mama gift|new dads|new gift|sweatshirt|funny gift|personalized gift|custom gift|trending 2026|etsy find|gift idea|family gift,34.99,20.6,queued
W3,2026-03-16,LB-00359,Coffee Lovers,Fathers Day,Sweatshirt,Always in My Heart Sweatshirt | Fathers Day | Coffee Lovers,fathers day gift|gift for dad|dad shirt|coffee lovers|coffee gift|sweatshirt|funny gift|personalized gift|custom gift|trending 2026|etsy find|gift idea|family gift,34.99,20.6,queued
W3,2026-03-17,LB-00381,Teachers,Graduation,Sweatshirt,Picture + Name Sweatshirt | Graduation | Teachers,graduation gift|class of 2026|grad shirt|teachers|teachers gift|sweatshirt|funny gift|personalized gift|custom gift|trending 2026|etsy find|gift idea|family gift,34.99,20.6,queued
W3,2026-03-11,LB-00388,Boy Moms,Mothers Day,Sweatshirt,Paws and Effect Sweatshirt | Mothers Day | Boy Moms,mothers day gift|gift for mom|mama gift|boy moms|boy gift|sweatshirt|funny gift|personalized gift|custom gift|trending 2026|etsy find|gift idea|family gift,34.99,20.6,queued
W3,2026-03-12,LB-00392,Plant Lovers,Mothers Day,Sweatshirt,Running on Vibes Sweatshirt | Mothers Day | Plant Lovers,mothers day gift|gift for mom|mama gift|plant lovers|plant gift|sweatshirt|funny gift|personalized gift|custom gift|trending 2026|etsy find|gift idea|family gift,34.99,20.6,queued
W3,2026-03-13,LB-00396,Real Estate Agents,Mothers Day,Sweatshirt,Proud to Teach Sweatshirt | Mothers Day | Real Estate Agents,mothers day gift|gift for mom|mama gift|real estate agents|real gift|sweatshirt|funny gift|personalized gift|custom gift|trending 2026|etsy find|gift idea|family gift,34.99,20.6,queued
