wave,publish_date,listing_id,niche,season,product,title,tags,price_usd,est_margin_pct,status
W6,2026-04-01,LB-00782,Plant Lovers,Christmas,T-Shirt,Teacher Vibes T-Shirt | Christmas | Plant Lovers,christmas gift|holiday shirt|xmas mug|plant lovers|plant gift|t-shirt|funny gift|personalized gift|custom gift|trending 2026|etsy find|gift idea|family gift,24.99,22.7,queued
W6,2026-04-02,LB-00783,New Dads,Halloween,T-Shirt,Read Sleep Repeat T-Shirt | Halloween | New Dads,halloween shirt|spooky mug|cute halloween|new dads|new gift|t-shirt|funny gift|personalized gift|custom gift|trending 2026|etsy find|gift idea|family gift,24.99,22.7,queued
W6,2026-04-03,LB-00784,Gamers,Halloween,T-Shirt,Running on Vibes T-Shirt | Halloween | Gamers,halloween shirt|spooky mug|cute halloween|gamers|gamers gift|t-shirt|funny gift|personalized gift|custom gift|trending 2026|etsy find|gift idea|family gift,24.99,22.7,queued
W6,2026-04-04,LB-00791,New Dads,Back to School,T-Shirt,Running on Vibes T-Shirt | Back to School | New Dads,back to school|teacher shirt|classroom decor|new dads|new gift|t-shirt|funny gift|personalized gift|custom gift|trending 2026|etsy find|gift idea|family gift,24.99,22.7,queued
W6,2026-04-05,LB-00801,Girl Moms,Halloween,T-Shirt,Picture + Name T-Shirt | Halloween | Girl Moms,halloween shirt|spooky mug|cute halloween|girl moms|girl gift|t-shirt|funny gift|personalized gift|custom gift|trending 2026|etsy find|gift idea|family gift,24.99,22.7,queued
W6,2026-04-06,LB-00802,Dog Moms,Back to School,T-Shirt,Throwback Type T-Shirt | Back to School | Dog Moms,back to school|teacher shirt|classroom decor|dog moms|dog gift|t-shirt|funny gift|personalized gift|custom gift|trending 2026|etsy find|gift idea|family gift,24.99,22.7,queued
W6,2026-04-07,LB-00811,Moms of 2+,Halloween,T-Shirt,Distressed Classic T-Shirt | Halloween | Moms of 2+,halloween shirt|spooky mug|cute halloween|moms of 2+|moms gift|t-shirt|funny gift|personalized gift|custom gift|trending 2026|etsy find|gift idea|family gift,24.99,22.7,queued
W6,2026-04-01,LB-00831,Real Estate Agents,Christmas,T-Shirt,Add Kid Names T-Shirt | Christmas | Real Estate Agents,christmas gift|holiday shirt|xmas mug|real estate agents|real gift|t-shirt|funny gift|personalized gift|custom gift|trending 2026|etsy find|gift idea|family gift,24.99,22.7,queued
W6,2026-04-02,LB-00849,Coffee Lovers,Halloween,T-Shirt,Professionally Tired T-Shirt | Halloween | Coffee Lovers,halloween shirt|spooky mug|cute halloween|coffee lovers|coffee gift|t-shirt|funny gift|personalized gift|custom gift|trending 2026|etsy find|gift idea|family gift,24.99,22.7,queued
W6,2026-04-03,LB-00872,Moms of 2+,Back to School,T-Shirt,Groovy Flowers T-Shirt | Back to School | Moms of 2+,back to school|teacher shirt|classroom decor|moms of 2+|moms gift|t-shirt|funny gift|personalized gift|custom gift|trending 2026|etsy find|gift idea|family gift,24.99,22.7,queued
